region,longitude,latitude,gps_height
Arusha,36.41311652443352,-3.215620899630694,1441.697610415063
Dar es Salaam,39.30968410552868,-6.9025995808392,12.860658750755157
Dodoma,35.9301311687006,-5.841953870296943,0.0
Iringa,34.93894493270387,-8.830624945966926,1662.7540463269393
Kagera,31.266328005056668,-1.9506156143051965,0.0
Kigoma,30.291384317531623,-4.181159735087683,1257.1111645693743
Kilimanjaro,37.51134649211136,-3.5030333494547823,1194.1507820912757
Lindi,39.00252889675738,-9.797649417799121,212.2036988018852
Manyara,35.82761216898824,-4.367749212583873,1496.1016956855308
Mara,34.10490271974592,-1.7216941062882756,1333.861641483288
Mbeya,33.485288780985705,-9.034801306306344,0.0
Morogoro,37.062117810084374,-7.407056264742541,401.0879933376335
Mtwara,39.42989818365845,-10.663621118934037,263.4441369854191
Mwanza,33.093247794563716,-2.649491506941649,181.304497491388
Pwani,38.93864460273028,-7.098729443291331,80.23409705591692
Rukwa,31.36386447781813,-7.563620084721436,1435.3109102908993
Ruvuma,35.77310741972882,-10.821112941074986,885.0461775735552
Shinyanga,33.103457843600694,-3.5308484259740447,51.60558271754232
Singida,34.732636213244604,-4.845525185658937,1415.6336942962203
Tabora,32.85441002575701,-4.688738672280874,0.0
Tanga,38.461161831313305,-5.062467987658984,598.9396829862307
